MUIDEN	MUDEID	MUNOMB	MUCODSIM
197	6	ALMEIDA	15022000
198	6	AQUITANIA	15047000
199	6	ARCABUCO	15051000
200	6	BELEN	15087000
201	6	BERBEO	15090000
202	6	BETEITIVA	15092000
203	6	BOAVITA	15097000
204	6	BOYACA	15104000
205	6	BRICENO	15106000
206	6	BUENAVISTA	15109000
207	6	BUSBANZA	15114000
208	6	CALDAS	15131000
209	6	CAMPOHERMOSO	15135000
210	6	CERINZA	15162000
211	6	CHINAVITA	15172000
212	6	CHIQUINQUIRA	15176000
213	6	CHISCAS	15180000
214	6	CHITA	15183000
215	6	CHITARAQUE	15185000
216	6	CHIVATA	15187000
217	6	CIENEGA	15189000
218	6	COMBITA	15204000
219	6	COPER	15212000
220	6	CORRALES	15215000
221	6	COVARACHIA	15218000
222	6	CUBARA	15223000
223	6	CUCAITA	15224000
224	6	CUITIVA	15226000
225	6	CHIQUIZA	15232000
226	6	CHIVOR	15236000
227	6	DUITAMA	15238000
228	6	EL COCUY	15244000
229	6	EL ESPINO	15248000
230	6	FIRAVITOBA	15272000
231	6	FLORESTA	15276000
232	6	GACHANTIVA	15293000
233	6	GAMEZA	15296000
234	6	GARAGOA	15299000
235	6	GUACAMAYAS	15317000
236	6	GUATEQUE	15322000
237	6	GUAYATA	15325000
238	6	GUICAN	15332000
239	6	IZA	15362000
240	6	JENESANO	15367000
241	6	JERICO	15368000
242	6	LABRANZAGRANDE	15377000
243	6	LA CAPILLA	15380000
244	6	LA VICTORIA	15401000
245	6	LA UVITA	15403000
246	6	VILLA DE LEYVA	15407000
247	6	MACANAL	15425000
248	6	MARIPI	15442000
249	6	MIRAFLORES	15455000
250	6	MONGUA	15464000
251	6	MONGUI	15466000
252	6	MONIQUIRA	15469000
253	6	MOTAVITA	15476000
254	6	MUZO	15480000
255	6	NOBSA	15491000
256	6	NUEVO COLON	15494000
257	6	OICATA	15500000
258	6	OTANCHE	15507000
259	6	PACHAVITA	15511000
260	6	PAEZ	15514000
261	6	PAIPA	15516000
262	6	PAJARITO	15518000
263	6	PANQUEBA	15522000
264	6	PAUNA	15531000
265	6	PAYA	15533000
266	6	PAZ DE RIO	15537000
267	6	PESCA	15542000
268	6	PISBA	15550000
269	6	PUERTO BOYACA	15572000
270	6	QUIPAMA	15580000
271	6	RAMIRIQUI	15599000
272	6	RAQUIRA	15600000
273	6	RONDON	15621000
274	6	SABOYA	15632000
275	6	SACHICA	15638000
276	6	SAMACA	15646000
277	6	SAN EDUARDO	15660000
278	6	SAN JOSE DE PARE	15664000
279	6	SAN LUIS DE GACENO	15667000
280	6	SAN MATEO	15673000
281	6	SAN MIGUEL DE SEMA	15676000
282	6	SAN PABLO DE BORBUR	15681000
283	6	SANTANA	15686000
284	6	SANTA MARIA	15690000
285	6	SANTA ROSA DE VITERBO	15693000
