MUIDEN	MUDEID	MUNOMB	MUCODSIM
9687	5	SAN PABLO - LA VIRGENCITA	13670014
9688	5	SAN PABLO - CAÑABRAVAL BAJO	13670015
9689	5	SAN PABLO - CUCU	13670016
9690	5	SAN PABLO - EL ROSARIO	13670017
9691	5	SAN PABLO - LA FRÍA	13670018
9692	5	SAN PABLO - LA UNIÓN	13670019
9693	5	SAN PABLO - LOS CAGUISES	13670020
9694	5	SAN PABLO - PATIO BONITO	13670021
9695	5	SANTA CATALINA - GALERAZAMBA	13673003
9696	5	SANTA CATALINA - LOMA DE ARENA	13673005
9697	5	SANTA CATALINA - PUEBLO NUEVO	13673006
9698	5	SANTA CATALINA - COLORADO	13673007
9699	5	SANTA ROSA DEL SUR - BUENAVISTA	13688002
9700	5	SANTA ROSA DEL SUR - FÁTIMA	13688005
9701	5	SANTA ROSA DEL SUR - CANELOS	13688007
9702	5	SANTA ROSA DEL SUR - SAN JOSÉ	13688009
9703	5	SANTA ROSA DEL SUR - SAN LUCAS	13688011
9704	5	SANTA ROSA DEL SUR - VILLA FLOR	13688013
9705	5	SANTA ROSA DEL SUR - ARRAYANES	13688014
9706	5	SANTA ROSA DEL SUR - SAN FRANCISCO	13688015
9707	5	SANTA ROSA DEL SUR - SAN ISIDRO	13688016
9708	5	SANTA ROSA DEL SUR - SAN JUAN	13688018
9709	5	SANTA ROSA DEL SUR - SANTA ISABEL	13688019
9710	5	SIMITÍ - CAMPO PALLARES	13744001
9711	5	SIMITÍ - VERACRUZ	13744006
9712	5	SIMITÍ - SAN BLAS	13744007
9713	5	SIMITÍ - SAN LUIS	13744008
9714	5	SIMITÍ - LAS BRISAS	13744010
9715	5	SIMITÍ - MONTERREY	13744011
9716	5	SIMITÍ - ANIMAS ALTAS	13744013
9717	5	SIMITÍ - ANIMAS BAJAS	13744014
9718	5	SIMITÍ - DIAMANTE	13744015
9719	5	SIMITÍ - GARZAL	13744016
9720	5	SIMITÍ - PARAÍSO	13744017
9721	5	SIMITÍ - PAREDES DE ORORIA	13744018
9722	5	SIMITÍ - SAN JOAQUÍN	13744019
9723	5	SIMITÍ - SANTA LUCÍA	13744020
9724	5	TALAIGUA NUEVO - CAÑOHONDO	13780005
9725	5	TALAIGUA NUEVO - PORVENIR	13780009
9726	5	TALAIGUA NUEVO - VESUBIO	13780011
9727	5	TALAIGUA NUEVO - LAS MARÍAS	13780015
9728	5	TALAIGUA NUEVO - PATICO	13780017
9729	5	TALAIGUA NUEVO - TALAIGUA VIEJO	13780023
9730	5	TALAIGUA NUEVO - LADERA DE SAN MARTÍN	13780024
9731	5	TALAIGUA NUEVO - PEÑÓN DE DURÁN	13780025
9732	5	TALAIGUA NUEVO - LOS MANGOS	13780026
9733	5	TALAIGUA NUEVO - TUPE	13780027
9734	5	TIQUISIO - AGUAS NEGRAS	13810001
9735	5	TIQUISIO - BOCAS DE SOLIS	13810002
9736	5	TIQUISIO - COLORADO	13810003
9737	5	TIQUISIO - DOS BOCAS	13810004
9738	5	TIQUISIO - EL SUDÁN	13810005
9739	5	TIQUISIO - LA VENTURA	13810006
9740	5	TIQUISIO - PALMA ESTERAL	13810007
9741	5	TIQUISIO - PUERTO COCA	13810008
9742	5	TIQUISIO - QUEBRADA DEL MEDIO	13810009
9743	5	TIQUISIO - SABANAS DEL FIRME	13810010
9744	5	TIQUISIO - TIQUISIO NUEVO	13810011
9745	5	TURBACO - CAÑAVERAL	13836001
9746	5	TURBACO - SAN JOSÉ DE CHIQUITO	13836002
9747	5	TURBANÁ - BALLESTAS	13838001
9748	5	TURBANÁ - EL COBADO (EL PUEBLITO)	13838002
9749	5	VILLANUEVA - ZIPACOA	13873001
9750	6	AQUITANIA - DIGANOME	15047002
9751	6	AQUITANIA - SUSE	15047006
9752	6	AQUITANIA - SUSACA	15047009
9753	6	AQUITANIA - DAITO	15047010
9754	6	AQUITANIA - HATO LAGUNA	15047011
9755	6	AQUITANIA - PRIMAVERA	15047012
9756	6	AQUITANIA - SORIANO	15047013
9757	6	AQUITANIA - PÉREZ	15047014
9758	6	AQUITANIA - QUEBRADAS	15047015
9759	6	BETÉITIVA - OTENGA	15092001
9760	6	BOAVITA - EL ESPIGON	15097001
9761	6	BOAVITA - SAN FRANCISCO	15097002
9762	6	CALDAS - NARIÑO	15131001
9763	6	CALDAS - QUIPE CHUNGAGUTA	15131002
9764	6	CALDAS - EL CUBO	15131003
9765	6	CAMPOHERMOSO - VISTAHERMOSA	15135002
9766	6	CAMPOHERMOSO - LOS CEDROS	15135003
9767	6	CHISCAS - MERCEDES	15180005
9768	6	CHITA - CHIPAVIEJO	15183001
9769	6	CHITA - EL MORAL	15183002
9770	6	CHITA - MONSERRATE	15183003
9771	6	CHITA - MINAS	15183004
9772	6	CHITA - CHIPA CENTRO	15183005
9773	6	CHITA - CANOAS	15183006
9774	6	CHITA - LA PLAYA	15183007
9775	6	CHITA - EL ARENAL	15183008
9776	6	CHITARAQUE - GUAMO Y LADERA	15185001
9777	6	CHITARAQUE - SANTO DOMINGO	15185002
9778	6	CÓMBITA - EL BARNE	15204001
9779	6	CÓMBITA - SANTA BÁRBARA	15204002
9780	6	CÓMBITA - EL CARMEN	15204003
9781	6	CÓMBITA - LA CONCEPCIÓN	15204004
9782	6	CÓMBITA - SAN ISIDRO	15204005
9783	6	CÓMBITA - SAN ONOFRE	15204006
9784	6	CÓMBITA - SAN RAFAEL	15204007
9785	6	COVARACHÍA - LA PALMERA	15218001
9786	6	COVARACHÍA - LAS TAPIAS	15218002
9787	6	COVARACHÍA - PUERTO RICO	15218003
9788	6	COVARACHÍA - LIMÓN DULCE	15218004
9789	6	COVARACHÍA - LOS SIATES	15218005
9790	6	COVARACHÍA - EL NARANJO	15218006
9791	6	COVARACHÍA - NOGONTOVA - LA CAPILLA DE SAN LUIS	15218007
9792	6	COVARACHÍA - SATOBA ARRIBA	15218008
9793	6	CUBARÁ - CHUSCAL	15223001
9794	6	CUBARÁ - AGUA BLANCA	15223004
9795	6	CUBARÁ - EL GUAMO	15223005
9796	6	CUBARÁ - BOJABÁ	15223006
9797	6	CUBARÁ - COVARÍA	15223007
9798	6	CUBARÁ - TEGRIA	15223010
9799	6	CUBARÁ - GIBRALTAR	15223011
9800	6	CUÍTIVA - LLANO DE ALARCÓN	15226001
9801	6	CHÍQUIZA - SAN PEDRO DE IGUAQUE	15232001
9802	6	DUITAMA - SAN LORENZO DE ABAJO	15238008
9803	6	DUITAMA - SAN ANTONIO NORTE	15238009
9804	6	DUITAMA - LA TRINIDAD	15238011
9805	6	DUITAMA - CIUDADELA INDUSTRIAL	15238012
9806	6	DUITAMA - SANTA CLARA	15238013
9807	6	DUITAMA - TOCOGUA	15238014
9808	6	DUITAMA - PUEBLITO BOYACENCE	15238015
9809	6	EL ESPINO - LA LAGUNA	15248002
9810	6	EL ESPINO - LA BARRERA	15248003
9811	6	EL ESPINO - SANTA ANA	15248004
9812	6	FLORESTA - TOBASÍA	15276001
9813	6	GUACAMAYAS - LA PALMA	15317001
9814	6	GUACAMAYAS - CHICHIMITA	15317002
9815	6	GUACAMAYAS - GUIRAGÓN	15317003
9816	6	GUATEQUE - GAUNZA ABAJO	15322002
9817	6	GUATEQUE - GAUNZA ARRIBA	15322003
9818	6	GUATEQUE - CHORRO DE ORO	15322004
9819	6	GUATEQUE - LLANO GRANDE	15322007
9820	6	GUATEQUE - PIEDRA PARADA	15322009
9821	6	GUATEQUE - ROSALES	15322012
9822	6	GÜICÁN - BOCOTÁ	15332001
9823	6	GÜICÁN - LA CUEVA	15332004
9824	6	GÜICÁN - BACHIRA	15332007
9825	6	GÜICÁN - TUNEBIA ARRIBA	15332008
9826	6	JENESANO - FORAQUIRÁ	15367001
9827	6	JERICÓ - CHEVA	15368001
9828	6	LA VICTORIA - CHAPÓN O GUADUA	15401001
9829	6	LA VICTORIA - SANTA HELENA	15401004
9830	6	LA VICTORIA - HUMBO	15401005
9831	6	LA UVITA - CUSAGÜI	15403001
9832	6	VILLA DE LEYVA - EL ROBLE	15407003
9833	6	MACANAL - SAN PEDRO DE MUCEÑO	15425004
9834	6	MARIPÍ - SANTA ROSA	15442001
9835	6	MARIPÍ - ZULIA	15442002
9836	6	MARIPÍ - NARAPAY	15442003
9837	6	MARIPÍ - PORTACHUELO	15442004
9838	6	MARIPÍ - GUAYABAL	15442005
9839	6	MARIPÍ - GUAZO	15442006
9840	6	MARIPÍ - LA PITA	15442007
9841	6	MONGUA - SIRGUAZA	15464001
9842	6	MONGUA - CENTRO TUNJUELA	15464002
9843	6	MONGUA - TUNJUELO	15464003
9844	6	MONIQUIRÁ - LOS CAYENOS	15469007
9845	6	MONIQUIRÁ - LOS SAUCES	15469008
9846	6	MOTAVITA - PANELAS	15476001
9847	6	NOBSA - BELENCITO	15491001
9848	6	NOBSA - CHAMEZA MAYOR	15491002
9849	6	NOBSA - DICHO	15491003
9850	6	NOBSA - PUNTA LARGA	15491004
9851	6	NOBSA - UCUENGA	15491005
9852	6	NOBSA - CALERAS	15491006
9853	6	NOBSA - NAZARETH	15491007
9854	6	NOBSA - BONZA	15491008
9855	6	NOBSA - CHAMEZ MEN	15491009
9856	6	NOBSA - GUAQUIRA	15491010
9857	6	NOBSA - SAN MARTÍN	15491011
9858	6	NOBSA - SANTANA	15491012
9859	6	NUEVO COLÓN - SORCA	15494001
9860	6	OTANCHE - BETANIA	15507001
9861	6	OTANCHE - BUENAVISTA	15507002
9862	6	OTANCHE - PIZARRA	15507004
9863	6	OTANCHE - SAN JOSÉ DE NAZARETH	15507009
9864	6	OTANCHE - BUENOS AIRES	15507010
9865	6	OTANCHE - MIRADOR	15507011
9866	6	PÁEZ - LA URURIA	15514001
9867	6	PÁEZ - SIRASÍ	15514002
9868	6	PAIPA - PALERMO	15516001
9869	6	PAIPA - EL VOLCÁN	15516002
9870	6	PAIPA - ROMITA	15516004
9871	6	PAIPA - PANTANO DE VARGAS	15516005
9872	6	PAIPA - EL VENADO	15516006
9873	6	PAIPA - CANOCAS	15516008
9874	6	PAIPA - CRUZ DE BONZA	15516009
9875	6	PAIPA - EL TEJAR	15516010
9876	6	PAJARITO - CORINTO	15518001
9877	6	PAUNA - QUEBRADA SECA	15531004
9878	6	PAYA - MORCOTE	15533001
9879	6	PAZ DE RÍO - PAZ VIEJA	15537001
9880	6	PAZ DE RÍO - CONCENTRACION	15537002
9881	6	PESCA - EL PALMAR	15542001
9882	6	PESCA - EL HATO	15542002
9883	6	PESCA - SUANEME	15542003
9884	6	PUERTO BOYACÁ - GUANEGRO	15572001
9885	6	PUERTO BOYACÁ - PUERTO GUTIÉRREZ	15572005
9886	6	PUERTO BOYACÁ - CRUCE PALAGUA	15572006
9887	6	PUERTO BOYACÁ - PUERTO SERVIEZ	15572007
9888	6	PUERTO BOYACÁ - EL PESCADO	15572008
9889	6	PUERTO BOYACÁ - KILÓMETRO DOS Y MEDIO	15572009
9890	6	PUERTO BOYACÁ - KILÓMETRO 25	15572010
9891	6	PUERTO BOYACÁ - EL MARFIL	15572011
9892	6	PUERTO BOYACÁ - PUERTO PINZÓN	15572012
9893	6	PUERTO BOYACÁ - PUERTO ROMERO	15572013
9894	6	PUERTO BOYACÁ - CRUCE EL CHAPARRO	15572017
9895	6	PUERTO BOYACÁ - EL ERMITAÑO	15572018
9896	6	PUERTO BOYACÁ - EL OKAL	15572019
9897	6	PUERTO BOYACÁ - EL TRIQUE	15572020
9898	6	PUERTO BOYACÁ - KILÓMETRO 11	15572021
9899	6	PUERTO BOYACÁ - MUELLE VELÁSQUEZ	15572023
9900	6	PUERTO BOYACÁ - PUERTO NIÑO	15572024
9901	6	PUERTO BOYACÁ - KILÓMETRO UNO Y MEDIO	15572026
9902	6	PUERTO BOYACÁ - LA CEIBA	15572027
9903	6	QUÍPAMA - CORMAL	15580001
9904	6	QUÍPAMA - EL PARQUE	15580002
9905	6	QUÍPAMA - HUMBO	15580003
9906	6	RAMIRIQUÍ - GUAYABAL (FÁTIMA)	15599001
9907	6	RAMIRIQUÍ - EL ESCOBAL	15599004
9908	6	RÁQUIRA - SAN CAYETANO	15600001
9909	6	RÁQUIRA - LA CANDELARIA	15600002
9910	6	RONDÓN - RANCHOGRANDE	15621001
9911	6	SABOYÁ - GARAVITO	15632001
9912	6	SABOYÁ - MERCHÁN	15632002
9913	6	SABOYÁ - PANTANOS	15632003
9914	6	SABOYÁ - EL MOLINO	15632004
9915	6	SABOYÁ - VELANDIA	15632005
9916	6	SAMACÁ - LA CUMBRE	15646001
9917	6	SAMACÁ - LA FABRICA	15646002
9918	6	SAMACÁ - SALAMANACA	15646003
9919	6	SAMACÁ - TIBAQUIRÁ	15646004
9920	6	SAN LUIS DE GACENO - SANTA TERESA	15667001
9921	6	SAN LUIS DE GACENO - GUAMAL	15667002
9922	6	SAN LUIS DE GACENO - HORIZONTES	15667003
9923	6	SAN LUIS DE GACENO - LA MESA DEL GUAVIO	15667004
9924	6	SAN LUIS DE GACENO - SAN CARLOS DEL GUAVIO	15667005
9925	6	SAN LUIS DE GACENO - LA FRONTERA (CORREDOR VIAL)	15667006
9926	6	SAN PABLO DE BORBUR - SECTOR PEÑA BLANCA	15681004
9927	6	SAN PABLO DE BORBUR - SANTA BÁRBARA	15681005
9928	6	SAN PABLO DE BORBUR - SAN MARTÍN	15681006
9929	6	SAN PABLO DE BORBUR - COSCUEZ	15681007
9930	6	SANTA MARÍA - CAÑO NEGRO	15690001
9931	6	SANTA ROSA DE VITERBO - EL IMPERIO	15693002
9932	6	SATIVANORTE - SATIVA VIEJO	15720001
9933	6	SATIVANORTE - LA JUPA	15720002
9934	6	SOCOTÁ - CHIPAVIEJO	15755001
9935	6	SOCOTÁ - LOS PINOS	15755004
9936	6	SOCOTÁ - PUEBLOVIEJO	15755005
9937	6	SOCOTÁ - COSCATIVA	15755006
9938	6	SOCHA - PUEBLO NUEVO	15757001
9939	6	SOCHA - SANTA TERESA	15757002
9940	6	SOGAMOSO - MORCÁ	15759001
9941	6	SOGAMOSO - MORTIÑAL	15759002
9942	6	SOGAMOSO - VANEGAS	15759003
9943	6	SOGAMOSO - SIATAME	15759004
9944	6	SOGAMOSO - EL CRUCERO	15759005
9945	6	SOGAMOSO - ALCAPARRAL	15759006
9946	6	SOGAMOSO - MILAGRO Y PLAYITA	15759007
9947	6	SOTAQUIRÁ - EL MORAL	15763001
9948	6	SOTAQUIRÁ - BOSIGAS	15763002
9949	6	SOTAQUIRÁ - CERREÑO	15763003
9950	6	TASCO - LIBERTADORES	15790001
9951	6	TASCO - LA CHAPA	15790002
9952	6	TIBASOSA - EL PARAÍSO	15806002
9953	6	TIBASOSA - SANTA TERESA	15806003
9954	6	TIPACOQUE - EL NOGAL	15810001
9955	6	TIPACOQUE - EL PALMAR	15810002
9956	6	TIPACOQUE - LA CARRERA	15810003
9957	6	TIPACOQUE - LA VARIANTE	15810004
9958	6	TOGÜÍ - GARIBAY	15816001
9959	6	TÓPAGA - BADO CASTRO	15820001
9960	6	TOTA - LA PUERTA	15822001
9961	6	TUTA - BOSIGA SUR	15837006
9962	6	TUTA - EL CRUCE	15837007
9963	6	TUTA - SIDERÚRGICA	15837008
9964	6	TUTAZÁ - PÁRAMO	15839001
9965	6	TUTAZÁ - LA CAPILLA	15839004
9966	6	VENTAQUEMADA - ESTANCIA GRANDE	15861006
9967	6	VENTAQUEMADA - PUENTE BOYACÁ	15861007
9968	6	VENTAQUEMADA - TIERRA NEGRA	15861008
9969	6	VENTAQUEMADA - EL CAPRI	15861009
9970	6	VENTAQUEMADA - EL MANZANO	15861010
9971	7	MANIZALES - ALTO DE LISBOA	17001001
9972	7	MANIZALES - KILOMETRO 41-COLOMBIA	17001002
9973	7	MANIZALES - BAJO TABLAZO	17001003
9974	7	MANIZALES - LA CABAÑA	17001004
9975	7	MANIZALES - LA CUCHILLA DEL SALADO	17001005
9976	7	MANIZALES - LAS PAVAS	17001008
9977	7	MANIZALES - SAN PEREGRINO	17001009
9978	7	MANIZALES - ALTO TABLAZO	17001010
9979	7	MANIZALES - ALTO DEL NARANJO	17001011
9980	7	MANIZALES - EL ARENILLO	17001012
9981	7	MANIZALES - LA AURORA	17001015
9982	7	MANIZALES - ALTO BONITO	17001022
9983	7	MANIZALES - MINA RICA	17001023
9984	7	MANIZALES - LA GARRUCHA	17001024
9985	7	MANIZALES - BAJO CORINTO	17001025
9986	7	MANIZALES - ALTO CORINTO	17001026
9987	7	MANIZALES - AGUA BONITA	17001029
9988	7	MANIZALES - EL AGUILA	17001034
9989	7	MANIZALES - CORREDOR AGROTURISTICO	17001037
9990	7	MANIZALES - CRISTALINA	17001038
9991	7	MANIZALES - EL MANANTIAL	17001039
9992	7	MANIZALES - EL REMANSO	17001040
9993	7	MANIZALES - PANORAMA	17001041
9994	7	MANIZALES - RIO BLANCO	17001042
9995	7	AGUADAS - ARMA	17013001
9996	7	AGUADAS - LA MERMITA	17013004
9997	7	AGUADAS - EDEN	17013010
9998	7	AGUADAS - SAN NICOLÁS	17013011
9999	7	AGUADAS - ALTO DE PITO	17013012
10000	7	AGUADAS - ALTO DE LA MONTAÑA	17013014
10001	7	AGUADAS - VIBORAL	17013016
10002	7	AGUADAS - PORE	17013017
10003	7	ANSERMA - BELLAVISTA	17042002
10004	7	ANSERMA - MARAPRA	17042004
10005	7	ANSERMA - SAN PEDRO	17042007
10006	7	ANSERMA - CONCHARÍ	17042008
10007	7	ANSERMA - ALSACIA	17042012
10008	7	ANSERMA - MIRAVALLE	17042021
10009	7	ANSERMA - CHAPATA	17042023
10010	7	ANSERMA - EL HORRO	17042024
10011	7	ARANZAZU - SAN RAFAEL	17050006
10012	7	BELALCÁZAR - EL MADROÑO	17088001
10013	7	BELALCÁZAR - LA HABANA	17088002
10014	7	BELALCÁZAR - SAN ISIDRO	17088003
10015	7	BELALCÁZAR - ASENTAMIENTO INDÍGENA	17088008
10016	7	CHINCHINÁ - EL TRÉBOL	17174001
10017	7	CHINCHINÁ - LA FLORESTA	17174002
10018	7	CHINCHINÁ - ALTO DE LA MINA	17174006
10019	7	CHINCHINÁ - LA QUIEBRA DEL NARANJO	17174007
10020	7	CHINCHINÁ - LA ESTRELLA	17174011
10021	7	CHINCHINÁ - EL REPOSO	17174012
10022	7	CHINCHINÁ - GUAYABAL	17174013
10023	7	CHINCHINÁ - SAN ANDRÉS	17174015
10024	7	FILADELFIA - EL PINTADO	17272001
10025	7	FILADELFIA - EL VERSO	17272002
10026	7	FILADELFIA - LA PAILA	17272003
10027	7	FILADELFIA - MORRITOS	17272004
10028	7	FILADELFIA - SAMARIA	17272005
10029	7	FILADELFIA - SAN LUIS	17272007
10030	7	FILADELFIA - BALMORAL	17272008
10031	7	FILADELFIA - LA MARINA	17272009
10032	7	LA DORADA - BUENAVISTA	17380001
10033	7	LA DORADA - GUARINOCITO	17380002
10034	7	LA DORADA - PURNIO	17380003
10035	7	LA DORADA - LA ATARRAYA	17380004
10036	7	LA DORADA - EL TIGRE	17380005
10037	7	LA DORADA - CAMELIAS	17380007
10038	7	LA DORADA - DOÑA JUANA	17380008
10039	7	LA DORADA - HORIZONTE	17380009
10040	7	LA DORADA - LA AGUSTINA	17380010
10041	7	LA DORADA - LA HABANA	17380012
10042	7	LA DORADA - PROSOCIAL LA HUMAREDA	17380015
10043	7	LA DORADA - BRISAS BOCAS DE PONTONA	17380016
10044	7	LA DORADA - BRISAS TABLONES	17380017
10045	7	LA DORADA - JAPÓN	17380018
10046	7	LA DORADA - LA BOCANA	17380019
10047	7	LA MERCED - LA FELISA	17388002
10048	7	LA MERCED - EL PALO	17388004
10049	7	LA MERCED - LA CHUSPA	17388005
10050	7	LA MERCED - LLANADAS	17388007
10051	7	LA MERCED - TOSCANA-VERGEL	17388010
10052	7	MANZANARES - AGUABONITA	17433001
10053	7	MANZANARES - LA CEIBA	17433003
10054	7	MANZANARES - LAS MARGARITAS	17433004
10055	7	MANZANARES - LOS PLANES	17433005
10056	7	MARMATO - CABRAS	17442001
10057	7	MARMATO - EL LLANO	17442002
10058	7	MARMATO - SAN JUAN	17442003
10059	7	MARMATO - LA CUCHILLA	17442005
10060	7	MARMATO - LA GARRUCHA	17442007
10061	7	MARMATO - JIMENEZ ALTO	17442008
10062	7	MARMATO - JIMENEZ BAJO	17442009
10063	7	MARMATO - LADRILLERA	17442010
10064	7	MARMATO - LLANO GRANDE	17442011
10065	7	MARMATO - LOAIZA	17442012
10066	7	MARQUETALIA - SANTA ELENA	17444001
10067	7	MARULANDA - MONTEBONITO	17446001
10068	7	MARULANDA - MOLLEJONES	17446003
10069	7	MARULANDA - PÁRAMO HERVEO	17446004
10070	7	NEIRA - LA ESPERANZA	17486001
10071	7	NEIRA - LLANO GRANDE	17486002
10072	7	NEIRA - PAN DE AZÚCAR	17486003
10073	7	NEIRA - PUEBLO RICO	17486004
10074	7	NEIRA - TAPIAS	17486005
10075	7	NEIRA - LA CRISTALINA	17486006
10076	7	NEIRA - LA FELICIA	17486008
10077	7	NEIRA - BARRIO MEDELLÍN	17486009
10078	7	NEIRA - LA ISLA	17486010
10079	7	NEIRA - AGROVILLA	17486011
10080	7	NEIRA - SAN JOSÉ	17486012
10081	7	NORCASIA - LA QUIEBRA	17495002
10082	7	PÁCORA - CASTILLA	17513001
10083	7	PÁCORA - LAS COLES	17513002
10084	7	PÁCORA - SAN BARTOLOMÉ	17513003
10085	7	PÁCORA - BUENOS AIRES	17513012
10086	7	PÁCORA - LOS MORROS	17513013
10087	7	PÁCORA - SAN LORENZO	17513014
10088	7	PALESTINA - ARAUCA	17524001
10089	7	PALESTINA - EL JARDÍN (REPOSO)	17524002
10090	7	PALESTINA - LA PLATA	17524003
10091	7	PALESTINA - CARTAGENA	17524005
10092	7	PENSILVANIA - ARBOLEDA	17541001
10093	7	PENSILVANIA - BOLIVIA	17541002
10094	7	PENSILVANIA - EL HIGUERÓN	17541004
10095	7	PENSILVANIA - LA LINDA	17541006
10096	7	PENSILVANIA - LA RIOJA	17541008
10097	7	PENSILVANIA - PUEBLONUEVO	17541009
10098	7	PENSILVANIA - SAMARIA	17541010
10099	7	PENSILVANIA - SAN DANIEL	17541011
10100	7	PENSILVANIA - LA TORRE	17541013
10101	7	PENSILVANIA - LA SOLEDAD ALTA	17541015
10102	7	PENSILVANIA - AGUABONITA	17541016
10103	7	RIOSUCIO - BONAFONT	17614001
10104	7	RIOSUCIO - EL SALADO	17614003
10105	7	RIOSUCIO - FLORENCIA	17614004
10106	7	RIOSUCIO - QUIEBRALOMO	17614005
10107	7	RIOSUCIO - SAN LORENZO	17614006
10108	7	RIOSUCIO - IBERIA	17614008
10109	7	RIOSUCIO - SIPIRRA	17614010
10110	7	RIOSUCIO - SAN JERÓNIMO	17614014
10111	7	RIOSUCIO - PUEBLO VIEJO	17614017
10112	7	RIOSUCIO - LAS ESTANCIAS	17614021
10113	7	RIOSUCIO - LA PLAYA - IMURRA	17614022
10114	7	RIOSUCIO - TUMBABARRETO	17614023
10115	7	RISARALDA - ALTO DE ARAUCA	17616001
10116	7	RISARALDA - QUIEBRA SANTA BÁRBARA	17616004
10117	7	RISARALDA - QUIEBRA VARILLAS	17616008
10118	7	RISARALDA - CALLE LARGA	17616011
10119	7	SALAMINA - VEREDA LA UNION	17653004
10120	7	SALAMINA - SAN FÉLIX	17653007
10121	7	SAMANÁ - BERLÍN	17662001
10122	7	SAMANÁ - FLORENCIA	17662003
10123	7	SAMANÁ - ENCIMADAS	17662004
10124	7	SAMANÁ - LOS POMOS	17662005
10125	7	SAMANÁ - SAN DIEGO	17662007
10126	7	SAMANÁ - RANCHOLARGO	17662008
10127	7	SAMANÁ - EL CONGAL	17662012
10128	7	SAN JOSÉ - LA LIBERTAD	17665001
10129	7	SAN JOSÉ - PRIMAVERA ALTA	17665002
10130	7	SAN JOSÉ - CONDOMINIOS VALLES DE ACAPULCO Y LOS SEIS Y PUNTO	17665004
10131	7	SUPÍA - LA QUINTA	17777003
10132	7	SUPÍA - HOJAS ANCHAS	17777005
10133	7	SUPÍA - GUAMAL	17777008
10134	7	SUPÍA - PUERTO NUEVO	17777010
10135	7	VICTORIA - CAÑAVERAL	17867001
10136	7	VICTORIA - ISAZA	17867003
10137	7	VICTORIA - LA PRADERA	17867004
10138	7	VICTORIA - EL LLANO	17867005
10139	7	VICTORIA - LA FE	17867007
10140	7	VILLAMARÍA - ALTO DE LA CRUZ - LOS CUERVOS	17873001
10141	7	VILLAMARÍA - EL PINDO	17873002
10142	7	VILLAMARÍA - LLANITOS	17873003
10143	7	VILLAMARÍA - RIOCLARO	17873004
10144	7	VILLAMARÍA - SAN JULIÁN	17873006
10145	7	VILLAMARÍA - MIRAFLORES	17873007
10146	7	VILLAMARÍA - ALTO VILLARAZO	17873008
10147	7	VILLAMARÍA - GALLINAZO	17873010
10148	7	VILLAMARÍA - LA NUEVA PRIMAVERA	17873011
10149	7	VILLAMARÍA - LA FLORESTA	17873014
10150	7	VILLAMARÍA - BAJO ARROYO	17873015
10151	7	VILLAMARÍA - COROZAL	17873016
10152	7	VILLAMARÍA - PARTIDAS	17873017
10153	7	VILLAMARÍA - GRANJA AGRÍCOLA LA PAZ	17873018
10154	7	VILLAMARÍA - NUEVO RÍO CLARO	17873019
10155	7	VITERBO - EL SOCORRO	17877002
10156	7	VITERBO - ALTOS DE JAEN	17877006
10157	7	VITERBO - EL FARO	17877007
10158	7	VITERBO - EL REMANSO	17877008
10159	7	VITERBO - LA ESMERALDA	17877009
10160	7	VITERBO - LOS ALCARAVANES	17877010
10161	7	VITERBO - LOS ANDES	17877011
10162	7	VITERBO - QUINTAS DE CATALINA	17877012
10163	7	VITERBO - BOSQUES DEL PALMAR	17877013
10164	7	VITERBO - VILLA DEL RÍO	17877014
10165	8	FLORENCIA - SAN ANTONIO DE ATENAS	18001004
10166	8	FLORENCIA - SANTANA LAS HERMOSAS	18001005
10167	8	FLORENCIA - LA ESPERANZA	18001006
10168	8	FLORENCIA - NORCACIA	18001007
10169	8	FLORENCIA - EL PARA	18001009
10170	8	FLORENCIA - SAN GUILLERMO	18001010
10171	8	FLORENCIA - PUERTO ARANGO	18001024
10172	8	ALBANIA - DORADO	18029003
10173	8	ALBANIA - VERSALLES	18029004
10174	8	ALBANIA - EL PARAÍSO	18029005
10175	8	BELÉN DE LOS ANDAQUÍES - EL PORTAL LA MONO	18094001
10176	8	BELÉN DE LOS ANDAQUÍES - PUERTO TORRES	18094003
10177	8	BELÉN DE LOS ANDAQUÍES - PUEBLO NUEVO LOS ÁNGELES	18094005
10178	8	BELÉN DE LOS ANDAQUÍES - ALETONES	18094008
10179	8	BELÉN DE LOS ANDAQUÍES - SAN ANTONIO DE PADUA	18094009
10180	8	CARTAGENA DEL CHAIRÁ - REMOLINO DEL CAGUÁN	18150001
10181	8	CARTAGENA DEL CHAIRÁ - SANTA FE DEL CAGUÁN	18150002
10182	8	CARTAGENA DEL CHAIRÁ - MONSERRATE	18150003
10183	8	CARTAGENA DEL CHAIRÁ - PEÑAS COLORADAS	18150004
10184	8	CARTAGENA DEL CHAIRÁ - EL GUAMO	18150005
10185	8	CARTAGENA DEL CHAIRÁ - PUERTO CAMELIA	18150006
10186	8	CARTAGENA DEL CHAIRÁ - SANTO DOMINGO	18150007
10187	8	CARTAGENA DEL CHAIRÁ - LOS CRISTALES	18150008
10188	8	CARTAGENA DEL CHAIRÁ - RISARALDA	18150009
10189	8	CARTAGENA DEL CHAIRÁ - BOLIVIA	18150010
10190	8	CARTAGENA DEL CHAIRÁ - CUMARALES	18150011
10191	8	CARTAGENA DEL CHAIRÁ - EL CAFÉ	18150012
10192	8	CARTAGENA DEL CHAIRÁ - NÁPOLES	18150013
